order_id,order_date,customer_id,category,product_name,quantity,unit_price,discount,sales,cost,city,profit,payment_method,order_status
1,2025-03-29,1117,Beauty,Perfume,3,1838,0.0,5514.0,3106.36,Hyderabad,2407.64,Net Banking,Cancelled
2,2025-01-22,1089,Home & Kitchen,Water Bottle,2,2733,0.0,5466.0,3388.79,Delhi,2077.21,Net Banking,Delivered
3,2025-12-30,1055,Home & Kitchen,Table Lamp,3,1275,0.0,3825.0,2647.78,Hyderabad,1177.22,UPI,Delivered
4,2025-09-22,1090,Electronics,Bluetooth Speaker,1,4690,0.2,3752.0,3187.12,Pune,564.88,Credit Card,Delivered
5,2025-12-26,1132,Fashion,Hoodie,4,3403,0.2,10889.6,8296.78,Mumbai,2592.82,Net Banking,Delivered
6,2025-08-03,1040,Fashion,Hoodie,2,1102,0.1,1983.6,1679.52,Pune,304.08,Net Banking,Delivered
7,2025-06-06,1015,Books,Self Help Book,3,913,0.1,2465.1,1680.32,Pune,784.78,Debit Card,Delivered
8,2025-09-18,1041,Electronics,Wireless Headphones,3,3368,0.1,9093.6,7393.5,Hyderabad,1700.1,Net Banking,Cancelled
9,2025-02-04,1101,Electronics,Power Bank,2,3904,0.1,7027.2,5439.35,Kolkata,1587.85,Credit Card,Delivered
10,2025-02-11,1124,Home & Kitchen,Coffee Maker,1,4793,0.1,4313.7,3107.47,Pune,1206.23,COD,Cancelled
11,2025-01-13,1071,Home & Kitchen,Coffee Maker,4,2057,0.1,7405.2,4909.68,Bangalore,2495.52,COD,Delivered
12,2025-05-01,1116,Home & Kitchen,Bedsheet,2,1897,0.0,3794.0,2285.6,Pune,1508.4,COD,Cancelled
13,2025-06-09,1096,Electronics,Bluetooth Speaker,3,1509,0.0,4527.0,2665.08,Delhi,1861.92,COD,Delivered
14,2025-05-10,1054,Beauty,Face Wash,2,1491,0.0,2982.0,2058.18,Pune,923.82,Debit Card,Delivered
15,2025-05-03,1145,Electronics,Wireless Headphones,3,6557,0.1,17703.9,14264.87,Kolkata,3439.03,Net Banking,Delivered
16,2025-12-15,1003,Books,Notebook,2,758,0.0,1516.0,1011.0,Hyderabad,505.0,COD,Delivered
17,2025-05-08,1039,Beauty,Shampoo,4,1734,0.05,6589.2,3968.23,Mumbai,2620.97,UPI,Delivered
18,2025-03-01,1113,Electronics,Bluetooth Speaker,4,7416,0.1,26697.6,21890.88,Mumbai,4806.72,COD,Delivered
19,2025-02-23,1120,Electronics,Power Bank,1,3908,0.15,3321.8,2919.1,Delhi,402.7,Net Banking,Cancelled
20,2025-12-04,1054,Beauty,Shampoo,1,453,0.2,362.4,350.6,Bangalore,11.8,COD,Delivered
21,2025-05-15,1145,Books,Fiction Book,4,965,0.1,3474.0,2699.74,Delhi,774.26,Debit Card,Delivered
22,2025-10-10,1027,Beauty,Shampoo,3,2285,0.05,6512.25,5176.7,Mumbai,1335.55,Credit Card,Delivered
23,2025-01-17,1046,Books,Fiction Book,4,808,0.1,2908.8,2348.91,Pune,559.89,Credit Card,Delivered
24,2025-04-26,1067,Home & Kitchen,Bedsheet,1,3720,0.1,3348.0,2884.77,Mumbai,463.23,Net Banking,Delivered
25,2025-09-30,1104,Electronics,Smart Watch,3,7509,0.05,21400.65,13706.73,Delhi,7693.92,Credit Card,Delivered
26,2025-11-09,1036,Electronics,Bluetooth Speaker,2,6396,0.1,11512.8,7275.66,Pune,4237.14,Credit Card,Delivered
27,2025-10-15,1086,Beauty,Face Wash,4,1171,0.0,4684.0,3199.82,Bangalore,1484.18,UPI,Cancelled
28,2025-04-11,1008,Electronics,Smart Watch,3,4061,0.05,11573.85,8205.6,Pune,3368.25,Net Banking,Delivered
29,2025-11-04,1144,Beauty,Lipstick,4,1191,0.05,4525.8,3386.67,Pune,1139.13,Net Banking,Cancelled
30,2025-05-07,1137,Fashion,Hoodie,2,2082,0.0,4164.0,2367.65,Hyderabad,1796.35,Credit Card,Delivered
31,2025-09-29,1069,Books,Fiction Book,2,709,0.0,1418.0,1084.72,Kolkata,333.28,Credit Card,Delivered
32,2025-02-16,1094,Books,Technical Book,4,846,0.05,3214.8,1932.65,Kolkata,1282.15,Credit Card,Delivered
33,2025-11-21,1100,Beauty,Perfume,4,750,0.05,2850.0,2074.94,Mumbai,775.06,Debit Card,Delivered
34,2025-09-15,1128,Beauty,Moisturizer,2,1215,0.1,2187.0,1864.04,Bangalore,322.96,COD,Cancelled
35,2025-03-06,1074,Beauty,Lipstick,2,1156,0.15,1965.2,1604.45,Bangalore,360.75,Debit Card,Delivered
36,2025-04-03,1090,Beauty,Perfume,1,953,0.05,905.35,667.88,Kolkata,237.47,Net Banking,Cancelled
37,2025-12-23,1099,Fashion,Sneakers,1,1225,0.15,1041.25,753.21,Hyderabad,288.04,UPI,Delivered
38,2025-09-30,1113,Fashion,T-Shirt,3,2087,0.15,5321.85,3592.05,Kolkata,1729.8,COD,Delivered
39,2025-02-21,1083,Beauty,Face Wash,2,275,0.05,522.5,422.68,Mumbai,99.82,UPI,Delivered
40,2025-07-05,1142,Books,Cookbook,3,718,0.0,2154.0,1645.9,Mumbai,508.1,Net Banking,Delivered
41,2025-07-13,1005,Books,Technical Book,3,319,0.05,909.15,722.67,Pune,186.48,Net Banking,Delivered
42,2025-10-28,1132,Books,Technical Book,4,649,0.0,2596.0,1969.77,Hyderabad,626.23,UPI,Delivered
